,Label,Time
0,cat,0.0169
1,plane,0.0159
2,ship,0.0161
3,horse,0.0165
4,dog,0.0161
5,bird,0.0168
6,deer,0.0172
7,plane,0.0166
8,dog,0.0162
9,dog,0.0153
10,horse,0.0175
11,horse,0.0162
12,horse,0.0186
13,cat,0.0164
14,dog,0.0181
15,frog,0.0172
16,cat,0.0169
17,bird,0.016
18,dog,0.0156
19,bird,0.017
20,cat,0.0181
21,frog,0.0164
22,horse,0.0162
23,dog,0.0168
24,cat,0.0161
25,plane,0.0169
26,horse,0.0174
27,cat,0.0166
28,plane,0.0166
29,cat,0.018
30,cat,0.0167
31,car,0.0181
32,bird,0.0185
33,horse,0.0189
34,dog,0.0187
35,bird,0.0169
36,frog,0.0186
37,bird,0.0168
38,dog,0.0161
39,cat,0.0169
40,dog,0.0188
41,bird,0.0191
42,bird,0.0169
43,frog,0.0169
44,cat,0.019
45,dog,0.0182
46,horse,0.0177
47,bird,0.0183
48,horse,0.0182
49,dog,0.0186
50,cat,0.0185
51,dog,0.0189
52,horse,0.0169
53,frog,0.018
54,deer,0.0186
55,plane,0.018
56,deer,0.0172
57,horse,0.0182
58,frog,0.0172
59,cat,0.0169
60,dog,0.0192
61,cat,0.0169
62,truck,0.0192
63,bird,0.0191
64,bird,0.0189
65,cat,0.0185
66,plane,0.0192
67,dog,0.0169
68,ship,0.0169
69,bird,0.0186
70,plane,0.0178
71,bird,0.0192
72,cat,0.0184
73,dog,0.0172
74,cat,0.0186
75,bird,0.0183
76,cat,0.0169
77,cat,0.0183
78,bird,0.0181
79,bird,0.0169
80,plane,0.019
81,deer,0.0169
82,plane,0.0169
83,horse,0.0178
84,horse,0.0177
85,cat,0.017
86,bird,0.0169
87,deer,0.0169
88,deer,0.0192
89,dog,0.0192
90,deer,0.0169
91,frog,0.0169
92,bird,0.019
93,bird,0.0181
94,cat,0.0184
95,bird,0.018
96,bird,0.019
97,horse,0.0174
98,horse,0.0186
99,ship,0.0173
100,dog,0.0169
101,bird,0.0187
102,bird,0.0178
103,bird,0.0179
104,truck,0.0168
105,bird,0.0176
106,cat,0.0191
107,cat,0.0175
108,deer,0.0169
109,bird,0.0177
110,dog,0.0175
111,horse,0.0177
112,cat,0.0179
113,horse,0.0182
114,dog,0.0188
115,plane,0.0184
116,bird,0.0181
117,deer,0.018
118,bird,0.0169
119,dog,0.0178
120,cat,0.019
121,horse,0.0174
122,dog,0.0162
123,horse,0.0179
124,dog,0.0167
125,bird,0.0155
126,cat,0.0183
127,deer,0.0163
128,dog,0.0164
129,deer,0.0158
130,cat,0.0183
131,cat,0.0174
132,horse,0.0161
133,horse,0.0178
134,dog,0.0174
135,cat,0.0176
136,dog,0.017
137,dog,0.0178
138,plane,0.0162
139,bird,0.018
140,deer,0.018
141,deer,0.0155
142,horse,0.0186
143,dog,0.0169
144,ship,0.0176
145,deer,0.0161
146,plane,0.016
147,bird,0.0165
148,dog,0.0183
149,dog,0.0167
150,dog,0.0179
151,deer,0.0163
152,frog,0.0185
153,deer,0.0163
154,bird,0.0157
155,truck,0.0161
156,cat,0.0156
157,cat,0.0185
158,deer,0.0163
159,cat,0.0187
160,cat,0.0165
161,bird,0.0174
162,cat,0.0182
163,cat,0.0168
164,ship,0.0161
165,frog,0.0163
166,bird,0.0168
167,horse,0.0172
168,bird,0.0165
169,bird,0.0182
170,ship,0.0176
171,horse,0.0163
172,cat,0.0158
173,dog,0.0171
174,cat,0.0184
175,cat,0.0168
176,deer,0.0182
177,dog,0.0164
178,frog,0.0188
179,truck,0.0161
180,cat,0.0151
181,cat,0.0163
182,bird,0.0159
183,car,0.016
184,plane,0.0161
185,cat,0.0159
186,bird,0.0178
187,bird,0.0165
188,cat,0.016
189,bird,0.0176
190,dog,0.0177
191,horse,0.0178
192,frog,0.0172
193,ship,0.0163
194,horse,0.0162
195,cat,0.0158
196,deer,0.0161
197,cat,0.0163
198,dog,0.0163
199,deer,0.0155
200,dog,0.0172
201,truck,0.0166
202,bird,0.0159
203,bird,0.0162
204,bird,0.0165
205,frog,0.0191
206,dog,0.0181
207,deer,0.0158
208,dog,0.0169
209,horse,0.0167
210,cat,0.0163
211,deer,0.0164
212,horse,0.0151
213,deer,0.0175
214,dog,0.0186
215,cat,0.0183
216,frog,0.0163
217,bird,0.0185
218,cat,0.0169
219,dog,0.0164
220,cat,0.0171
221,bird,0.0169
222,bird,0.0176
223,cat,0.0179
224,bird,0.0184
225,dog,0.0177
226,horse,0.0174
227,cat,0.0191
228,cat,0.0173
229,horse,0.017
230,cat,0.0185
231,cat,0.0171
232,bird,0.018
233,cat,0.0188
234,truck,0.0172
235,car,0.0164
236,deer,0.0173
237,horse,0.0166
238,frog,0.0162
239,cat,0.0156
240,frog,0.0157
241,dog,0.0164
242,horse,0.0155
243,horse,0.0156
244,cat,0.0177
245,plane,0.0165
246,deer,0.0186
247,plane,0.0166
248,deer,0.0184
249,ship,0.0164
250,truck,0.016
251,dog,0.0166
252,ship,0.0171
253,bird,0.0169
254,dog,0.0175
255,bird,0.0171
256,bird,0.0158
257,cat,0.0155
258,cat,0.0162
259,ship,0.0185
260,cat,0.0162
261,frog,0.0167
262,frog,0.0183
263,bird,0.0168
264,bird,0.0161
265,cat,0.0167
266,bird,0.018
267,deer,0.0161
268,frog,0.0181
269,cat,0.0169
270,plane,0.0159
271,ship,0.0178
272,frog,0.0175
273,cat,0.017
274,plane,0.0162
275,frog,0.0163
276,cat,0.0164
277,frog,0.018
278,cat,0.0165
279,cat,0.0191
280,frog,0.017
281,plane,0.0169
282,bird,0.0178
283,dog,0.0173
284,dog,0.018
285,bird,0.0162
286,cat,0.0171
287,horse,0.0168
288,frog,0.0176
289,cat,0.0167
290,bird,0.0161
291,dog,0.0174
292,cat,0.0173
293,dog,0.0164
294,bird,0.017
295,horse,0.0169
296,truck,0.0175
297,deer,0.0168
298,bird,0.0165
299,cat,0.0165
300,dog,0.0173
301,bird,0.0162
302,cat,0.0168
303,cat,0.018
304,deer,0.0156
305,frog,0.0174
306,bird,0.0182
307,deer,0.0168
308,frog,0.0174
309,dog,0.0176
310,truck,0.0158
311,horse,0.0183
312,dog,0.0176
313,cat,0.0174
314,cat,0.0167
315,cat,0.0169
316,cat,0.0174
317,frog,0.0165
318,cat,0.0183
319,cat,0.0165
320,frog,0.0173
321,dog,0.0173
322,bird,0.0169
323,horse,0.0176
324,deer,0.0186
325,cat,0.0152
326,truck,0.0177
327,dog,0.0166
328,deer,0.0155
329,dog,0.0164
330,dog,0.0173
331,bird,0.0169
332,dog,0.0159
333,frog,0.0179
334,horse,0.0167
335,cat,0.0166
336,bird,0.0155
337,deer,0.0185
338,bird,0.018
339,cat,0.0166
340,deer,0.0165
341,cat,0.0163
342,cat,0.0187
343,bird,0.0159
344,deer,0.0173
345,bird,0.0186
346,plane,0.0169
347,dog,0.0162
348,cat,0.0175
349,deer,0.0174
350,dog,0.0165
351,bird,0.016
352,ship,0.0181
353,cat,0.017
354,dog,0.0181
355,cat,0.0159
356,cat,0.0167
357,bird,0.0156
358,bird,0.017
359,cat,0.0169
360,cat,0.0169
361,cat,0.0161
362,deer,0.016
363,frog,0.0183
364,truck,0.0171
365,dog,0.0168
366,cat,0.0166
367,bird,0.0179
368,bird,0.0179
369,deer,0.0165
370,cat,0.0161
371,dog,0.0188
372,deer,0.0167
373,plane,0.0168
374,cat,0.0178
375,frog,0.0175
376,deer,0.016
377,horse,0.0158
378,ship,0.0164
379,plane,0.0169
380,frog,0.0173
381,dog,0.0162
382,deer,0.0163
383,cat,0.0181
384,plane,0.0156
385,bird,0.0166
386,dog,0.017
387,cat,0.0179
388,plane,0.0168
389,horse,0.0168
390,horse,0.0158
391,bird,0.0187
392,horse,0.0163
393,cat,0.0192
394,cat,0.0167
395,bird,0.0163
396,bird,0.0183
397,bird,0.0166
398,deer,0.0172
399,cat,0.0161
400,cat,0.018
401,dog,0.018
402,deer,0.0158
403,car,0.017
404,dog,0.0154
405,cat,0.0172
406,ship,0.0163
407,dog,0.017
408,frog,0.0162
409,horse,0.0172
410,horse,0.0167
411,plane,0.0172
412,cat,0.0167
413,cat,0.0176
414,plane,0.0186
415,cat,0.0164
416,dog,0.0184
417,ship,0.0164
418,horse,0.0186
419,cat,0.0165
420,cat,0.0153
421,ship,0.0156
422,horse,0.0163
423,horse,0.0177
424,dog,0.0178
425,deer,0.0174
426,deer,0.0159
427,cat,0.0186
428,deer,0.0169
429,bird,0.0182
430,bird,0.0163
431,dog,0.0168
432,bird,0.0174
433,dog,0.0153
434,plane,0.0165
435,horse,0.0161
436,deer,0.0151
437,bird,0.016
438,cat,0.0167
439,dog,0.0162
440,plane,0.0181
441,deer,0.0181
442,deer,0.0156
443,bird,0.0166
444,bird,0.0186
445,dog,0.0187
446,bird,0.017
447,bird,0.018
448,horse,0.0185
449,dog,0.0181
450,cat,0.0152
451,dog,0.017
452,cat,0.0182
453,horse,0.0172
454,dog,0.0192
455,cat,0.0163
456,plane,0.0175
457,deer,0.0178
458,bird,0.0169
459,bird,0.0179
460,dog,0.0161
461,dog,0.0167
462,dog,0.0176
463,horse,0.0183
464,cat,0.0159
465,plane,0.0183
466,frog,0.0162
467,dog,0.0184
468,deer,0.0163
469,bird,0.0178
470,cat,0.0186
471,cat,0.0169
472,frog,0.0171
473,cat,0.0164
474,cat,0.0169
475,dog,0.0167
476,cat,0.0178
477,cat,0.0171
478,bird,0.0185
479,plane,0.0167
480,cat,0.017
481,bird,0.0165
482,bird,0.0187
483,bird,0.0155
484,bird,0.0168
485,frog,0.0166
486,plane,0.0161
487,bird,0.0164
488,dog,0.0168
489,dog,0.0173
490,bird,0.0179
491,deer,0.0164
492,dog,0.0155
493,bird,0.0159
494,horse,0.0188
495,plane,0.0166
496,horse,0.0182
497,bird,0.0162
498,plane,0.0179
499,frog,0.0184
500,dog,0.0155
501,cat,0.0153
502,ship,0.0184
503,frog,0.0169
504,deer,0.0168
505,cat,0.0165
506,bird,0.017
507,frog,0.0168
508,ship,0.0179
509,dog,0.0168
510,bird,0.017
511,cat,0.0163
512,dog,0.0163
513,dog,0.0179
514,truck,0.0165
515,cat,0.0153
516,deer,0.0162
517,frog,0.0159
518,dog,0.0185
519,ship,0.016
520,cat,0.0184
521,cat,0.0185
522,dog,0.0171
523,bird,0.0163
524,horse,0.0186
525,cat,0.0154
526,deer,0.0156
527,bird,0.0181
528,bird,0.0177
529,plane,0.0163
530,cat,0.0166
531,bird,0.0156
532,bird,0.0156
533,plane,0.0172
534,bird,0.0167
535,bird,0.0161
536,dog,0.0168
537,bird,0.0167
538,plane,0.0165
539,bird,0.0188
540,dog,0.0169
541,cat,0.0169
542,deer,0.0171
543,bird,0.0183
544,deer,0.0168
545,frog,0.0175
546,bird,0.0166
547,bird,0.0158
548,cat,0.0164
549,deer,0.0173
550,bird,0.0168
551,horse,0.016
552,cat,0.0154
553,horse,0.0149
554,dog,0.0164
555,horse,0.0161
556,dog,0.0156
557,cat,0.0158
558,dog,0.0174
559,cat,0.0165
560,horse,0.0177
561,bird,0.016
562,dog,0.0181
563,cat,0.0162
564,dog,0.0178
565,cat,0.0171
566,bird,0.015
567,deer,0.0162
568,cat,0.0181
569,cat,0.0155
570,deer,0.0152
571,bird,0.0153
572,deer,0.0179
573,bird,0.0157
574,dog,0.0158
575,horse,0.0158
576,dog,0.0159
577,horse,0.0169
578,bird,0.0163
579,dog,0.0159
580,cat,0.0162
581,truck,0.0165
582,frog,0.0172
583,cat,0.016
584,cat,0.016
585,cat,0.0172
586,cat,0.0171
587,deer,0.0148
588,dog,0.016
589,dog,0.016
590,dog,0.0171
591,bird,0.0162
592,horse,0.0166
593,bird,0.0154
594,truck,0.018
595,frog,0.0157
596,cat,0.0168
597,bird,0.0165
598,dog,0.0184
599,dog,0.015
600,bird,0.0181
601,plane,0.0186
602,horse,0.0168
603,deer,0.0167
604,frog,0.0176
605,bird,0.0165
606,horse,0.0156
607,frog,0.0172
608,deer,0.0149
609,bird,0.0175
610,cat,0.0162
611,horse,0.0163
612,cat,0.0177
613,bird,0.0159
614,horse,0.0175
615,deer,0.0164
616,bird,0.0159
617,deer,0.0167
618,dog,0.0173
619,cat,0.0169
620,deer,0.0171
621,plane,0.0162
622,bird,0.0171
623,cat,0.0155
624,frog,0.0162
625,frog,0.0172
626,ship,0.016
627,bird,0.0177
628,dog,0.0162
629,frog,0.0159
630,horse,0.015
631,deer,0.017
632,car,0.0157
633,car,0.0162
634,dog,0.018
635,bird,0.0174
636,cat,0.0166
637,cat,0.0151
638,plane,0.0154
639,bird,0.0159
640,bird,0.0171
641,bird,0.0171
642,deer,0.0163
643,truck,0.0163
644,deer,0.0173
645,cat,0.0161
646,car,0.0154
647,cat,0.0179
648,cat,0.0168
649,bird,0.0176
650,frog,0.0165
651,plane,0.0159
652,bird,0.0163
653,plane,0.0187
654,bird,0.0173
655,bird,0.0152
656,deer,0.0174
657,horse,0.0159
658,horse,0.0165
659,horse,0.0169
660,bird,0.0167
661,cat,0.0167
662,deer,0.0167
663,truck,0.0174
664,plane,0.0165
665,bird,0.0155
666,frog,0.0168
667,cat,0.0178
668,cat,0.0165
669,deer,0.018
670,cat,0.0161
671,deer,0.016
672,bird,0.0182
673,cat,0.0179
674,cat,0.0153
675,dog,0.0171
676,cat,0.0163
677,cat,0.0166
678,plane,0.0175
679,horse,0.016
680,deer,0.0152
681,cat,0.0166
682,ship,0.0157
683,cat,0.0161
684,dog,0.018
685,dog,0.0164
686,deer,0.0156
687,cat,0.0158
688,cat,0.0176
689,plane,0.0173
690,plane,0.0177
691,plane,0.016
692,cat,0.0171
693,ship,0.0177
694,frog,0.0163
695,dog,0.0178
696,dog,0.0155
697,deer,0.0177
698,cat,0.0162
699,bird,0.0167
700,bird,0.0169
701,cat,0.0178
702,bird,0.0171
703,bird,0.0168
704,cat,0.0166
705,truck,0.0169
706,cat,0.0176
707,bird,0.0174
708,dog,0.0175
709,dog,0.017
710,horse,0.0175
711,horse,0.0176
712,frog,0.016
713,bird,0.0172
714,deer,0.0172
715,horse,0.0182
716,deer,0.0169
717,cat,0.0157
718,cat,0.0191
719,horse,0.0177
720,bird,0.0164
721,bird,0.0165
722,cat,0.0159
723,plane,0.0156
724,cat,0.0182
725,bird,0.0178
726,cat,0.0162
727,cat,0.0153
728,deer,0.0163
729,cat,0.016
730,bird,0.015
731,cat,0.0164
732,bird,0.0163
733,ship,0.0162
734,cat,0.016
735,bird,0.017
736,truck,0.0177
737,cat,0.0174
738,cat,0.0163
739,horse,0.0168
740,horse,0.0183
741,dog,0.0163
742,horse,0.0161
743,cat,0.0181
744,cat,0.0156
745,bird,0.0177
746,bird,0.016
747,horse,0.0177
748,deer,0.0152
749,horse,0.016
750,frog,0.0179
