No of Blocks,Label,Time
1,Malignant,0.0205
2,Malignant,0.0218
2,Malignant,0.0208
2,Malignant,0.0198
3,Malignant,0.0389
3,Malignant,0.0257
3,Benign,0.0272
3,Malignant,0.0262
3,Malignant,0.026
3,Malignant,0.0257
2,Malignant,0.0205
2,Malignant,0.0186
2,Malignant,0.0202
3,Benign,0.026
3,Malignant,0.0266
3,Malignant,0.0247
2,Malignant,0.0203
3,Malignant,0.0257
3,Benign,0.0257
3,Malignant,0.0252
1,Benign,0.0156
3,Malignant,0.0253
3,Malignant,0.026
2,Malignant,0.0196
1,Benign,0.0152
1,Benign,0.0149
1,Benign,0.0143
1,Benign,0.015
1,Benign,0.0151
2,Benign,0.0197
3,Benign,0.0259
1,Benign,0.0152
2,Benign,0.0206
3,Malignant,0.0263
2,Benign,0.0198
1,Benign,0.0156
3,Benign,0.0263
2,Malignant,0.0193
3,Malignant,0.0256
3,Benign,0.0252
3,Malignant,0.0271
3,Malignant,0.0246
3,Malignant,0.0264
1,Benign,0.0153
3,Malignant,0.0249
2,Malignant,0.0224
2,Malignant,0.02
3,Benign,0.0251
3,Malignant,0.0256
2,Malignant,0.0191
1,Benign,0.0167
2,Benign,0.0248
3,Malignant,0.0344
3,Benign,0.028
1,Malignant,0.0141
2,Malignant,0.0198
3,Malignant,0.0262
1,Benign,0.0148
3,Malignant,0.026
3,Malignant,0.0256
3,Malignant,0.0263
2,Benign,0.0203
2,Benign,0.0203
1,Benign,0.0146
1,Benign,0.0148
2,Malignant,0.0207
2,Malignant,0.0195
2,Malignant,0.0199
3,Malignant,0.0254
2,Malignant,0.0196
3,Malignant,0.0264
1,Benign,0.0167
3,Malignant,0.0276
2,Malignant,0.0201
3,Malignant,0.0272
1,Benign,0.0159
1,Benign,0.014
2,Malignant,0.0191
3,Malignant,0.0256
2,Benign,0.0204
3,Malignant,0.0267
1,Benign,0.0145
1,Benign,0.0151
1,Benign,0.0154
2,Malignant,0.0195
2,Malignant,0.019
1,Benign,0.0163
3,Malignant,0.0261
1,Benign,0.0151
3,Benign,0.0273
3,Benign,0.0249
3,Benign,0.0263
2,Malignant,0.0201
2,Malignant,0.0187
3,Benign,0.0273
1,Benign,0.0157
3,Malignant,0.0258
2,Malignant,0.02
3,Benign,0.0261
3,Malignant,0.0259
3,Malignant,0.0256
3,Benign,0.0244
3,Malignant,0.0258
2,Malignant,0.0197
1,Benign,0.0152
1,Benign,0.0153
1,Benign,0.0158
2,Benign,0.0202
2,Benign,0.0209
3,Malignant,0.0259
2,Benign,0.02
2,Benign,0.0193
3,Benign,0.0254
2,Benign,0.0192
1,Benign,0.015
1,Benign,0.0153
3,Malignant,0.0256
3,Malignant,0.0269
1,Benign,0.0162
1,Benign,0.0148
3,Malignant,0.0267
2,Malignant,0.0191
2,Malignant,0.0207
2,Benign,0.022
3,Malignant,0.0276
1,Malignant,0.0144
2,Benign,0.0218
3,Benign,0.0271
3,Malignant,0.0277
3,Benign,0.0266
3,Benign,0.027
2,Benign,0.0214
2,Malignant,0.0197
1,Malignant,0.0155
1,Benign,0.0161
3,Benign,0.0263
2,Malignant,0.0208
2,Malignant,0.0197
3,Benign,0.0278
1,Malignant,0.0153
1,Benign,0.0151
2,Malignant,0.0211
2,Benign,0.0207
2,Benign,0.0207
2,Benign,0.0208
2,Malignant,0.0194
1,Benign,0.0155
3,Benign,0.0257
2,Benign,0.021
3,Malignant,0.0253
2,Malignant,0.0209
3,Malignant,0.0285
1,Benign,0.0152
3,Benign,0.0256
3,Malignant,0.0267
2,Malignant,0.0211
1,Benign,0.0159
1,Malignant,0.015
2,Benign,0.02
3,Benign,0.0262
2,Malignant,0.0209
2,Benign,0.0219
3,Benign,0.0271
1,Benign,0.0161
2,Malignant,0.0207
1,Benign,0.0151
2,Benign,0.0215
1,Benign,0.0158
1,Benign,0.0156
1,Benign,0.0154
3,Benign,0.0268
1,Malignant,0.0141
1,Benign,0.0148
2,Malignant,0.0189
2,Benign,0.0202
2,Malignant,0.0209
1,Benign,0.0147
1,Benign,0.0157
3,Benign,0.0257
2,Malignant,0.02
2,Malignant,0.0192
2,Malignant,0.0198
3,Benign,0.0261
1,Benign,0.015
3,Benign,0.0262
1,Benign,0.0142
2,Malignant,0.0198
1,Benign,0.0151
1,Benign,0.0151
3,Malignant,0.0258
2,Malignant,0.0203
2,Malignant,0.0193
3,Malignant,0.0264
2,Benign,0.0202
3,Benign,0.0265
3,Malignant,0.0253
1,Benign,0.0162
1,Benign,0.0151
3,Benign,0.0266
1,Benign,0.0149
2,Malignant,0.0206
2,Benign,0.0194
3,Malignant,0.026
1,Benign,0.0159
1,Benign,0.0154
3,Malignant,0.0255
1,Malignant,0.0153
2,Malignant,0.021
3,Benign,0.0274
1,Benign,0.0147
1,Malignant,0.0148
2,Malignant,0.0195
3,Malignant,0.0304
2,Malignant,0.0206
2,Malignant,0.0207
2,Malignant,0.0206
1,Benign,0.015
1,Benign,0.0143
3,Malignant,0.0267
2,Benign,0.0206
3,Benign,0.0294
1,Benign,0.0163
3,Malignant,0.0287
1,Benign,0.0164
3,Malignant,0.0263
3,Malignant,0.0278
2,Malignant,0.0214
1,Benign,0.0164
2,Malignant,0.0211
2,Malignant,0.02
2,Malignant,0.0211
1,Benign,0.0157
1,Benign,0.0169
3,Malignant,0.0271
3,Benign,0.0297
3,Malignant,0.0277
2,Malignant,0.0235
2,Malignant,0.0222
3,Malignant,0.0278
2,Malignant,0.0207
2,Benign,0.0215
3,Benign,0.0259
2,Benign,0.0214
1,Benign,0.015
2,Malignant,0.022
2,Benign,0.0195
3,Malignant,0.0261
2,Malignant,0.0208
1,Benign,0.0159
3,Malignant,0.0381
3,Malignant,0.0309
1,Malignant,0.0295
1,Benign,0.0184
3,Malignant,0.0253
3,Benign,0.0274
2,Benign,0.0205
2,Malignant,0.0194
1,Benign,0.0144
2,Malignant,0.02
3,Benign,0.0261
2,Malignant,0.0207
3,Benign,0.026
2,Benign,0.0216
1,Benign,0.0161
3,Benign,0.0257
3,Malignant,0.0255
1,Benign,0.0149
3,Malignant,0.0253
3,Benign,0.0271
2,Benign,0.0206
1,Benign,0.0159
3,Benign,0.026
3,Malignant,0.0258
2,Malignant,0.021
1,Benign,0.0151
2,Malignant,0.0195
1,Malignant,0.0141
2,Malignant,0.0204
2,Malignant,0.02
3,Malignant,0.0263
2,Benign,0.0195
3,Malignant,0.0262
1,Benign,0.0151
1,Benign,0.0158
1,Benign,0.0156
3,Malignant,0.027
3,Malignant,0.025
3,Malignant,0.0262
2,Malignant,0.0196
3,Malignant,0.0267
1,Benign,0.0157
3,Benign,0.0251
2,Malignant,0.0206
2,Malignant,0.0205
2,Benign,0.0204
3,Malignant,0.0259
2,Malignant,0.0199
2,Benign,0.0196
2,Malignant,0.0206
2,Benign,0.0198
1,Benign,0.0155
1,Benign,0.0147
1,Benign,0.0164
3,Malignant,0.0262
3,Benign,0.0274
2,Malignant,0.0207
3,Malignant,0.0253
1,Malignant,0.0135
2,Malignant,0.0207
2,Malignant,0.0207
3,Benign,0.0246
3,Benign,0.0272
2,Malignant,0.02
2,Malignant,0.0212
2,Malignant,0.0195
3,Malignant,0.0257
3,Malignant,0.0271
3,Malignant,0.0247
3,Malignant,0.0267
2,Malignant,0.0218
1,Benign,0.0148
1,Benign,0.0144
1,Benign,0.0142
2,Benign,0.0201
1,Benign,0.0159
3,Malignant,0.0255
1,Malignant,0.015
3,Benign,0.0258
1,Benign,0.0166
2,Malignant,0.0193
2,Malignant,0.0207
2,Malignant,0.0204
1,Malignant,0.0152
2,Benign,0.0204
2,Benign,0.0203
3,Malignant,0.0259
3,Benign,0.0257
1,Benign,0.0153
1,Benign,0.0155
3,Malignant,0.0262
2,Malignant,0.0199
2,Malignant,0.0208
2,Malignant,0.0201
1,Benign,0.0155
2,Malignant,0.019
2,Malignant,0.0195
3,Benign,0.027
1,Benign,0.0148
1,Benign,0.0158
2,Benign,0.0202
