No of Blocks,Label,Time
7,Malignant,0.0247
7,Malignant,0.022
7,Benign,0.0242
4,Malignant,0.0203
3,Benign,0.0215
4,Malignant,0.0199
6,Malignant,0.0234
2,Malignant,0.0143
4,Malignant,0.0191
7,Malignant,0.0241
1,Benign,0.0122
4,Benign,0.0196
1,Benign,0.0117
7,Benign,0.0244
5,Malignant,0.0245
7,Malignant,0.026
7,Malignant,0.0239
6,Malignant,0.0236
1,Benign,0.0107
6,Malignant,0.0226
7,Benign,0.0245
1,Benign,0.0135
7,Benign,0.0239
1,Benign,0.0115
1,Benign,0.0127
6,Benign,0.0227
7,Benign,0.0244
7,Malignant,0.025
5,Benign,0.0206
7,Malignant,0.025
1,Benign,0.0115
6,Malignant,0.0243
6,Benign,0.0227
1,Benign,0.0121
7,Benign,0.0229
6,Malignant,0.0223
1,Benign,0.0113
5,Malignant,0.0219
5,Malignant,0.0216
1,Benign,0.0122
4,Benign,0.019
7,Malignant,0.0236
7,Malignant,0.0231
7,Malignant,0.0226
1,Benign,0.0124
7,Malignant,0.0239
7,Benign,0.0239
1,Benign,0.0131
1,Benign,0.0115
4,Malignant,0.0175
7,Malignant,0.0247
6,Malignant,0.023
6,Malignant,0.0222
7,Benign,0.0251
7,Benign,0.0232
6,Malignant,0.0232
4,Benign,0.0197
7,Malignant,0.0237
4,Benign,0.0188
7,Malignant,0.0235
7,Malignant,0.0225
1,Benign,0.0125
6,Benign,0.0216
4,Malignant,0.019
4,Malignant,0.0191
6,Malignant,0.0234
6,Malignant,0.0221
7,Malignant,0.0237
7,Benign,0.0244
4,Benign,0.0198
4,Benign,0.0168
7,Malignant,0.0243
7,Malignant,0.0264
7,Malignant,0.0239
7,Malignant,0.0237
4,Benign,0.0202
6,Benign,0.0227
1,Benign,0.0121
7,Malignant,0.0262
1,Benign,0.0131
4,Malignant,0.018
7,Malignant,0.0241
1,Benign,0.0121
7,Benign,0.0242
6,Malignant,0.0243
6,Benign,0.0225
6,Malignant,0.0229
1,Benign,0.0127
6,Malignant,0.0216
7,Benign,0.0235
1,Benign,0.0114
6,Malignant,0.0221
7,Malignant,0.0238
7,Benign,0.0251
3,Benign,0.0165
7,Benign,0.0237
6,Malignant,0.0238
4,Benign,0.019
2,Benign,0.0146
7,Malignant,0.0244
2,Benign,0.0136
4,Malignant,0.0252
7,Malignant,0.0225
7,Benign,0.0252
6,Malignant,0.023
7,Benign,0.0258
6,Malignant,0.0216
7,Benign,0.025
6,Malignant,0.0236
6,Malignant,0.0234
1,Benign,0.0114
7,Malignant,0.024
4,Benign,0.0202
7,Benign,0.0257
1,Benign,0.0111
7,Malignant,0.0234
1,Benign,0.0117
7,Malignant,0.0236
7,Benign,0.0231
4,Benign,0.0214
6,Malignant,0.0215
5,Malignant,0.0209
7,Malignant,0.0237
7,Benign,0.0239
1,Benign,0.012
7,Benign,0.025
6,Malignant,0.0229
7,Malignant,0.0237
7,Malignant,0.0232
6,Malignant,0.0242
7,Malignant,0.0241
7,Benign,0.0253
7,Malignant,0.0237
1,Benign,0.0124
5,Benign,0.0438
7,Malignant,0.0232
7,Benign,0.0245
7,Malignant,0.0244
7,Benign,0.0236
4,Benign,0.0158
7,Malignant,0.0232
4,Benign,0.0198
6,Malignant,0.0234
7,Malignant,0.0236
1,Benign,0.012
7,Benign,0.0231
6,Malignant,0.0231
7,Malignant,0.0235
7,Malignant,0.0252
5,Benign,0.0217
4,Malignant,0.0201
7,Benign,0.0238
1,Benign,0.0127
2,Benign,0.0144
4,Benign,0.02
7,Benign,0.0234
7,Benign,0.0242
4,Benign,0.0184
7,Malignant,0.0229
6,Malignant,0.0243
7,Benign,0.0255
1,Benign,0.012
6,Benign,0.0227
7,Malignant,0.0231
6,Malignant,0.0237
7,Malignant,0.0232
1,Benign,0.0123
6,Malignant,0.0222
6,Benign,0.0229
7,Malignant,0.0231
7,Malignant,0.0264
6,Malignant,0.024
1,Benign,0.0127
7,Malignant,0.0243
7,Malignant,0.025
6,Benign,0.0245
7,Malignant,0.0259
7,Benign,0.0253
4,Benign,0.0228
7,Malignant,0.0268
6,Malignant,0.0251
1,Benign,0.013
1,Benign,0.0124
5,Malignant,0.0235
4,Benign,0.0225
4,Malignant,0.021
4,Malignant,0.0192
7,Malignant,0.025
7,Malignant,0.0232
1,Benign,0.012
7,Benign,0.0245
7,Malignant,0.0244
7,Malignant,0.0242
7,Benign,0.0256
7,Benign,0.0258
1,Benign,0.0117
1,Benign,0.0128
6,Malignant,0.024
1,Benign,0.0121
6,Malignant,0.0227
1,Benign,0.0118
7,Malignant,0.0243
6,Malignant,0.023
4,Benign,0.0227
6,Benign,0.0253
7,Malignant,0.025
4,Malignant,0.0196
4,Benign,0.0221
5,Malignant,0.0236
5,Malignant,0.0238
4,Benign,0.0216
7,Benign,0.0235
1,Benign,0.011
7,Benign,0.023
1,Benign,0.0109
6,Malignant,0.0226
1,Benign,0.0128
7,Benign,0.0241
7,Malignant,0.0242
4,Benign,0.0191
7,Benign,0.0235
6,Malignant,0.0238
7,Malignant,0.0233
1,Benign,0.0118
7,Benign,0.0235
7,Malignant,0.0245
6,Malignant,0.0237
7,Malignant,0.0245
1,Benign,0.0107
5,Malignant,0.0213
7,Benign,0.0236
1,Benign,0.0132
7,Malignant,0.0239
4,Malignant,0.0192
6,Malignant,0.0231
7,Benign,0.0264
4,Malignant,0.0201
4,Benign,0.0205
1,Benign,0.0116
4,Benign,0.0194
7,Benign,0.0242
1,Benign,0.0129
7,Malignant,0.0232
7,Malignant,0.0241
7,Malignant,0.0237
4,Benign,0.0189
6,Malignant,0.0215
5,Malignant,0.0197
4,Malignant,0.0188
1,Benign,0.0112
5,Benign,0.0203
5,Malignant,0.0195
4,Benign,0.0195
7,Malignant,0.023
4,Malignant,0.0189
4,Benign,0.0201
7,Malignant,0.0229
7,Benign,0.0258
4,Malignant,0.0194
1,Benign,0.0115
7,Malignant,0.025
7,Benign,0.0249
4,Malignant,0.0193
7,Malignant,0.0236
4,Benign,0.0185
6,Benign,0.0243
7,Malignant,0.0246
1,Benign,0.0128
6,Malignant,0.0224
3,Malignant,0.0174
6,Malignant,0.0223
7,Malignant,0.0247
6,Malignant,0.0219
7,Malignant,0.0243
1,Benign,0.012
7,Malignant,0.0241
4,Malignant,0.0191
7,Malignant,0.0243
4,Benign,0.0213
7,Malignant,0.0235
7,Malignant,0.0241
6,Malignant,0.0219
1,Benign,0.0121
6,Malignant,0.0224
1,Benign,0.0103
7,Benign,0.0253
7,Malignant,0.0239
6,Benign,0.0238
6,Malignant,0.0216
7,Malignant,0.025
1,Benign,0.0105
5,Benign,0.0217
4,Malignant,0.0193
2,Malignant,0.015
7,Benign,0.0245
7,Malignant,0.0265
7,Malignant,0.0233
7,Malignant,0.0238
7,Benign,0.0236
6,Benign,0.0263
7,Malignant,0.0228
4,Benign,0.0194
2,Malignant,0.0151
7,Malignant,0.0235
7,Malignant,0.0237
6,Malignant,0.0219
7,Malignant,0.0232
7,Malignant,0.025
1,Benign,0.0113
6,Benign,0.0228
1,Benign,0.0118
1,Benign,0.0126
7,Malignant,0.0241
7,Malignant,0.0224
7,Benign,0.0237
7,Malignant,0.0223
7,Benign,0.0232
6,Benign,0.023
7,Malignant,0.0263
1,Benign,0.0123
7,Malignant,0.0231
1,Benign,0.0123
6,Malignant,0.0233
1,Benign,0.0117
7,Malignant,0.0248
1,Benign,0.0125
6,Malignant,0.0219
5,Benign,0.0219
1,Benign,0.0128
4,Benign,0.019
7,Malignant,0.0241
1,Benign,0.0115
6,Malignant,0.0218
5,Malignant,0.0212
5,Malignant,0.0227
1,Benign,0.0116
4,Benign,0.0198
1,Benign,0.0122
4,Benign,0.0208
6,Malignant,0.0223
5,Malignant,0.0236
4,Malignant,0.018
7,Benign,0.025
7,Malignant,0.0232
6,Malignant,0.0226
3,Benign,0.0174
1,Benign,0.0108
7,Malignant,0.0251
7,Malignant,0.0239
7,Malignant,0.0231
7,Benign,0.0253
6,Benign,0.0224
7,Malignant,0.0251
5,Malignant,0.0208
7,Malignant,0.0266
6,Benign,0.0218
7,Benign,0.0253
5,Benign,0.023
7,Malignant,0.0235
6,Malignant,0.0235
1,Benign,0.0124
5,Malignant,0.0204
7,Benign,0.0241
1,Benign,0.0118
7,Benign,0.024
1,Benign,0.0122
1,Benign,0.0117
1,Benign,0.0125
4,Benign,0.0185
4,Benign,0.0193
6,Malignant,0.0214
7,Benign,0.0242
7,Benign,0.0239
1,Benign,0.0113
1,Benign,0.0109
7,Benign,0.0231
1,Benign,0.0125
6,Benign,0.0224
7,Malignant,0.023
5,Benign,0.0213
1,Benign,0.0108
7,Malignant,0.0246
1,Benign,0.0121
1,Malignant,0.0101
1,Benign,0.0117
5,Benign,0.0216
6,Malignant,0.0237
1,Benign,0.0121
7,Malignant,0.0231
6,Malignant,0.0216
1,Benign,0.0117
7,Malignant,0.0238
6,Benign,0.0221
6,Malignant,0.0213
7,Benign,0.0233
7,Benign,0.0238
5,Malignant,0.0222
7,Malignant,0.0227
1,Benign,0.0109
7,Benign,0.0406
7,Benign,0.0232
7,Malignant,0.0245
7,Benign,0.0244
7,Malignant,0.0247
6,Malignant,0.0214
7,Malignant,0.0233
7,Malignant,0.0233
7,Benign,0.0239
7,Benign,0.0257
1,Benign,0.0127
7,Benign,0.0243
7,Malignant,0.0235
7,Benign,0.0225
1,Malignant,0.0102
7,Malignant,0.0235
7,Benign,0.0242
1,Benign,0.0116
7,Malignant,0.0257
7,Benign,0.0253
5,Malignant,0.0215
7,Malignant,0.0242
1,Benign,0.0129
6,Malignant,0.0239
7,Malignant,0.0256
7,Malignant,0.0228
7,Malignant,0.0231
5,Malignant,0.0205
7,Malignant,0.0239
6,Malignant,0.0228
1,Benign,0.0134
1,Benign,0.0129
7,Malignant,0.0244
7,Malignant,0.0238
6,Malignant,0.0223
6,Benign,0.0232
7,Benign,0.0242
1,Benign,0.0109
1,Benign,0.0119
4,Benign,0.0198
7,Malignant,0.0232
5,Benign,0.0211
7,Benign,0.0234
4,Malignant,0.0206
4,Benign,0.0174
7,Benign,0.0232
7,Malignant,0.0234
7,Malignant,0.0251
5,Malignant,0.0203
4,Malignant,0.019
6,Malignant,0.0221
6,Benign,0.023
6,Malignant,0.0216
7,Malignant,0.0235
6,Malignant,0.0224
7,Malignant,0.0224
7,Malignant,0.0233
7,Malignant,0.0244
7,Malignant,0.0234
6,Malignant,0.0219
1,Benign,0.012
6,Malignant,0.0221
5,Malignant,0.0222
7,Benign,0.0248
4,Benign,0.0182
7,Malignant,0.0232
7,Malignant,0.023
7,Benign,0.0244
1,Benign,0.0106
1,Benign,0.0112
5,Malignant,0.0231
7,Benign,0.0233
4,Benign,0.02
1,Benign,0.012
4,Malignant,0.02
1,Benign,0.0124
7,Benign,0.0257
7,Benign,0.0239
