No of Blocks,Label,Time
6,Malignant,0.0367
3,Benign,0.0157
6,Malignant,0.031
6,Malignant,0.0276
4,Malignant,0.02
3,Benign,0.0171
6,Benign,0.0307
6,Malignant,0.03
3,Malignant,0.0157
6,Malignant,0.0303
5,Benign,0.0272
3,Malignant,0.0182
6,Benign,0.0288
6,Benign,0.062
6,Benign,0.0306
6,Malignant,0.0288
6,Malignant,0.0309
6,Malignant,0.0302
3,Benign,0.018
5,Malignant,0.0289
3,Benign,0.0161
3,Benign,0.017
6,Malignant,0.0289
6,Malignant,0.0294
6,Benign,0.0277
6,Malignant,0.0294
4,Malignant,0.018
6,Benign,0.0297
6,Benign,0.0286
6,Benign,0.0293
3,Benign,0.0156
3,Benign,0.0178
5,Benign,0.0305
6,Malignant,0.0298
6,Benign,0.0293
4,Benign,0.018
6,Malignant,0.0294
3,Benign,0.0166
3,Benign,0.0157
3,Benign,0.0174
6,Benign,0.0306
6,Malignant,0.0285
6,Malignant,0.0285
6,Malignant,0.0297
6,Benign,0.0298
6,Malignant,0.0311
6,Malignant,0.0295
6,Malignant,0.0333
6,Malignant,0.0312
5,Malignant,0.0281
6,Malignant,0.0299
3,Benign,0.0176
3,Benign,0.0161
3,Benign,0.0159
6,Malignant,0.0296
6,Benign,0.0281
3,Benign,0.0172
6,Benign,0.0303
6,Benign,0.029
3,Benign,0.0155
6,Benign,0.0302
3,Malignant,0.0155
6,Malignant,0.029
5,Malignant,0.0285
3,Benign,0.0187
6,Benign,0.0287
3,Benign,0.0164
6,Malignant,0.0294
3,Benign,0.0179
6,Malignant,0.0293
3,Benign,0.0171
3,Malignant,0.0163
3,Benign,0.0162
6,Benign,0.0304
6,Benign,0.03
6,Benign,0.0284
5,Malignant,0.0271
5,Malignant,0.029
6,Malignant,0.0295
6,Benign,0.0322
6,Benign,0.0292
3,Benign,0.017
5,Malignant,0.0273
4,Malignant,0.019
3,Benign,0.0168
3,Benign,0.0161
4,Benign,0.0192
6,Benign,0.0316
6,Malignant,0.0286
6,Malignant,0.0294
5,Malignant,0.0257
4,Malignant,0.0183
6,Benign,0.0293
3,Benign,0.0173
6,Benign,0.0305
4,Malignant,0.0189
3,Benign,0.0184
4,Malignant,0.017
6,Malignant,0.029
6,Benign,0.0301
6,Malignant,0.0303
4,Benign,0.0182
4,Malignant,0.0181
3,Malignant,0.0162
6,Malignant,0.0286
6,Malignant,0.0294
6,Benign,0.0303
6,Malignant,0.0306
3,Benign,0.0184
6,Benign,0.0305
6,Malignant,0.0298
6,Malignant,0.0308
3,Benign,0.0168
6,Malignant,0.0317
3,Benign,0.0166
6,Benign,0.0289
3,Benign,0.0172
6,Malignant,0.0304
4,Malignant,0.0171
6,Malignant,0.0309
6,Malignant,0.0306
6,Malignant,0.031
5,Malignant,0.0305
6,Malignant,0.0313
3,Benign,0.0183
5,Malignant,0.0301
3,Benign,0.0173
6,Malignant,0.0308
3,Benign,0.0184
3,Benign,0.019
6,Benign,0.0303
4,Malignant,0.0178
4,Malignant,0.0179
6,Malignant,0.032
6,Malignant,0.0288
6,Malignant,0.0324
3,Benign,0.0184
6,Malignant,0.0311
6,Benign,0.0304
3,Benign,0.0176
6,Malignant,0.0338
6,Malignant,0.0332
6,Malignant,0.0325
6,Benign,0.0313
3,Benign,0.0204
3,Benign,0.0188
3,Benign,0.0171
3,Benign,0.0179
3,Benign,0.019
6,Malignant,0.0312
6,Benign,0.0287
6,Malignant,0.0298
3,Benign,0.0167
6,Malignant,0.0298
6,Benign,0.0377
3,Benign,0.0181
6,Malignant,0.0353
6,Malignant,0.0331
3,Benign,0.0182
4,Malignant,0.0197
6,Malignant,0.0292
3,Benign,0.0184
3,Benign,0.0179
3,Benign,0.0174
6,Malignant,0.0292
6,Benign,0.0323
3,Benign,0.0145
6,Malignant,0.031
6,Malignant,0.0305
3,Benign,0.0174
3,Malignant,0.0164
5,Benign,0.0309
3,Benign,0.0189
3,Benign,0.0175
3,Benign,0.0175
6,Malignant,0.0441
6,Malignant,0.0326
6,Benign,0.0356
3,Benign,0.0181
6,Malignant,0.0332
6,Malignant,0.0311
6,Benign,0.0303
3,Benign,0.0178
6,Benign,0.0291
6,Malignant,0.0315
3,Benign,0.0151
6,Malignant,0.0305
3,Benign,0.0164
6,Malignant,0.032
6,Benign,0.03
6,Malignant,0.0359
6,Benign,0.0313
3,Benign,0.0179
6,Malignant,0.0313
3,Benign,0.0168
4,Malignant,0.0179
6,Benign,0.0295
3,Malignant,0.0166
6,Malignant,0.0298
3,Benign,0.018
6,Malignant,0.0306
6,Malignant,0.0304
6,Malignant,0.0312
3,Malignant,0.0157
5,Malignant,0.0289
6,Benign,0.0316
3,Benign,0.0167
3,Benign,0.0174
6,Benign,0.0312
3,Malignant,0.0167
6,Benign,0.0285
6,Malignant,0.0317
5,Malignant,0.0285
6,Malignant,0.0307
4,Malignant,0.0182
6,Malignant,0.0344
6,Malignant,0.0292
6,Malignant,0.0317
6,Malignant,0.0282
3,Benign,0.018
6,Malignant,0.0307
6,Benign,0.032
6,Malignant,0.0297
6,Malignant,0.0296
3,Benign,0.0181
3,Benign,0.0174
6,Benign,0.0319
6,Malignant,0.0303
6,Malignant,0.0321
3,Benign,0.0171
3,Benign,0.0156
6,Malignant,0.0311
5,Malignant,0.03
6,Malignant,0.0301
4,Malignant,0.0164
6,Malignant,0.0312
4,Malignant,0.018
6,Benign,0.0317
6,Malignant,0.0312
3,Malignant,0.0181
6,Benign,0.0329
6,Malignant,0.0305
6,Malignant,0.0294
3,Benign,0.0175
3,Benign,0.0169
3,Benign,0.0178
5,Benign,0.0308
6,Malignant,0.0301
6,Malignant,0.0339
6,Malignant,0.0318
6,Benign,0.0308
3,Benign,0.0179
4,Malignant,0.0177
3,Benign,0.0165
6,Benign,0.0315
6,Benign,0.0303
3,Benign,0.0177
6,Benign,0.0318
3,Benign,0.0191
3,Benign,0.0171
3,Benign,0.0173
4,Malignant,0.0177
6,Benign,0.0308
6,Malignant,0.0288
6,Malignant,0.0302
6,Benign,0.0295
5,Benign,0.0293
3,Benign,0.0155
3,Benign,0.0151
6,Malignant,0.0289
3,Benign,0.0181
6,Malignant,0.0295
3,Benign,0.0182
6,Malignant,0.0301
3,Benign,0.0168
4,Malignant,0.0184
3,Benign,0.0172
6,Malignant,0.0322
3,Benign,0.0165
3,Benign,0.0179
4,Malignant,0.018
6,Malignant,0.0303
4,Malignant,0.0173
3,Benign,0.0174
3,Benign,0.0175
6,Benign,0.0322
6,Malignant,0.0292
6,Malignant,0.0316
3,Malignant,0.0159
6,Malignant,0.0312
4,Malignant,0.0181
6,Malignant,0.0314
6,Malignant,0.0308
6,Malignant,0.0307
6,Malignant,0.0302
3,Benign,0.0183
4,Malignant,0.0195
6,Malignant,0.0313
6,Benign,0.0294
6,Benign,0.0295
4,Malignant,0.0167
3,Benign,0.0169
6,Benign,0.0308
5,Malignant,0.0294
6,Benign,0.0315
3,Benign,0.0181
6,Malignant,0.0318
3,Benign,0.0168
3,Benign,0.016
3,Benign,0.0167
3,Benign,0.0161
6,Malignant,0.0292
6,Malignant,0.0309
3,Benign,0.0175
5,Malignant,0.0301
6,Benign,0.0306
3,Benign,0.0186
6,Malignant,0.0316
6,Benign,0.0311
6,Malignant,0.0316
6,Malignant,0.0289
