No of Blocks,Label,Time
3,more than 50,0.0243
4,20-49,0.0174
1,0-19,0.0074
3,more than 50,0.0165
1,more than 50,0.0087
3,more than 50,0.0213
4,20-49,0.0175
3,20-49,0.0167
6,20-49,0.0307
4,more than 50,0.0178
3,more than 50,0.0161
3,20-49,0.0165
4,0-19,0.0188
5,20-49,0.029
1,more than 50,0.0079
5,20-49,0.0281
3,more than 50,0.016
5,0-19,0.0323
3,0-19,0.0169
3,20-49,0.0164
4,20-49,0.0178
5,0-19,0.0315
4,20-49,0.0169
3,more than 50,0.0165
3,more than 50,0.0163
5,20-49,0.0286
3,0-19,0.0156
3,more than 50,0.0147
3,20-49,0.0156
4,0-19,0.018
3,more than 50,0.015
1,0-19,0.0074
3,more than 50,0.0164
6,20-49,0.0277
4,0-19,0.0176
1,0-19,0.0072
3,more than 50,0.0151
6,0-19,0.0297
1,0-19,0.0072
3,more than 50,0.015
3,20-49,0.0156
3,more than 50,0.015
5,20-49,0.0281
4,more than 50,0.017
4,more than 50,0.0191
4,20-49,0.0178
4,0-19,0.0197
3,0-19,0.0164
3,0-19,0.0149
4,0-19,0.0164
6,0-19,0.0301
3,more than 50,0.0154
3,0-19,0.015
3,more than 50,0.0164
3,0-19,0.0187
3,20-49,0.0152
4,more than 50,0.016
3,20-49,0.0169
3,0-19,0.0157
3,more than 50,0.0174
3,more than 50,0.0178
5,0-19,0.0278
5,0-19,0.0276
4,20-49,0.0175
4,20-49,0.0173
6,0-19,0.0292
3,20-49,0.0167
3,0-19,0.0161
4,more than 50,0.0165
3,20-49,0.016
6,20-49,0.0305
5,more than 50,0.0285
3,more than 50,0.0163
1,0-19,0.0075
5,0-19,0.0296
3,more than 50,0.0165
3,0-19,0.0154
3,20-49,0.0166
1,more than 50,0.0073
3,20-49,0.0157
4,20-49,0.0181
4,more than 50,0.0177
4,20-49,0.0185
3,0-19,0.0173
3,more than 50,0.0158
3,more than 50,0.0155
3,more than 50,0.0169
1,0-19,0.0072
1,0-19,0.0075
3,20-49,0.0159
1,0-19,0.0075
3,20-49,0.0165
1,0-19,0.0077
3,more than 50,0.0162
3,0-19,0.016
6,20-49,0.0294
1,0-19,0.0071
5,20-49,0.0285
1,0-19,0.0073
3,more than 50,0.0145
1,0-19,0.0072
3,more than 50,0.0163
3,0-19,0.0158
3,more than 50,0.0157
1,0-19,0.0082
3,0-19,0.015
3,more than 50,0.0163
4,0-19,0.0177
3,20-49,0.016
3,more than 50,0.0185
4,more than 50,0.0176
3,more than 50,0.0154
4,more than 50,0.0169
3,0-19,0.0161
5,more than 50,0.0294
6,more than 50,0.0298
3,more than 50,0.0163
4,20-49,0.0164
4,20-49,0.0169
3,20-49,0.0152
5,more than 50,0.0283
3,20-49,0.0163
3,more than 50,0.0153
3,0-19,0.0162
5,more than 50,0.0285
3,20-49,0.0156
5,20-49,0.0287
4,0-19,0.017
6,20-49,0.0311
6,0-19,0.0277
4,20-49,0.0174
3,0-19,0.0156
3,more than 50,0.0162
6,0-19,0.0305
3,20-49,0.0159
5,20-49,0.0263
3,more than 50,0.0176
4,more than 50,0.0162
5,20-49,0.0278
1,0-19,0.007
4,more than 50,0.0173
3,more than 50,0.0165
6,more than 50,0.0281
3,20-49,0.0158
1,more than 50,0.007
1,0-19,0.0075
5,0-19,0.0269
3,20-49,0.0153
1,0-19,0.0073
3,more than 50,0.0158
3,0-19,0.0158
4,20-49,0.0178
5,0-19,0.0273
5,more than 50,0.0297
3,0-19,0.0157
3,20-49,0.0146
3,more than 50,0.0156
3,more than 50,0.0152
3,0-19,0.0156
5,more than 50,0.0282
3,0-19,0.0157
1,more than 50,0.0074
3,0-19,0.0157
3,0-19,0.0155
3,0-19,0.0161
5,20-49,0.0277
4,20-49,0.018
3,more than 50,0.016
4,20-49,0.0169
4,more than 50,0.0165
4,20-49,0.0174
5,20-49,0.0278
1,0-19,0.0084
3,20-49,0.0165
3,20-49,0.0154
1,more than 50,0.0077
5,20-49,0.0287
4,more than 50,0.0175
5,more than 50,0.0279
1,20-49,0.0074
4,0-19,0.0166
3,20-49,0.0151
3,more than 50,0.0157
3,0-19,0.0158
3,more than 50,0.0163
3,more than 50,0.0156
1,0-19,0.0074
4,more than 50,0.0178
5,0-19,0.0282
1,0-19,0.0078
5,more than 50,0.0265
5,0-19,0.0316
3,20-49,0.016
4,0-19,0.0173
5,0-19,0.0292
3,more than 50,0.0164
1,more than 50,0.0074
3,20-49,0.0154
3,0-19,0.0162
3,more than 50,0.0149
4,more than 50,0.0166
3,0-19,0.0162
4,more than 50,0.0204
3,0-19,0.0164
3,0-19,0.0162
4,more than 50,0.0177
5,0-19,0.0282
4,20-49,0.0186
5,20-49,0.0297
5,more than 50,0.0285
3,more than 50,0.0163
3,more than 50,0.0156
3,20-49,0.0164
3,20-49,0.0165
1,0-19,0.0073
3,more than 50,0.0167
4,more than 50,0.0164
3,20-49,0.016
5,more than 50,0.0282
3,20-49,0.0167
3,more than 50,0.0155
3,0-19,0.0157
3,more than 50,0.0168
3,more than 50,0.0171
1,0-19,0.0073
3,more than 50,0.0165
3,0-19,0.0181
3,0-19,0.015
3,more than 50,0.0146
3,20-49,0.0157
1,more than 50,0.0073
1,more than 50,0.0072
3,0-19,0.0158
5,20-49,0.0288
6,more than 50,0.0294
3,more than 50,0.0163
3,more than 50,0.0151
1,0-19,0.0072
3,more than 50,0.0169
3,20-49,0.0161
5,0-19,0.0284
3,20-49,0.0171
4,20-49,0.0176
1,0-19,0.0076
5,20-49,0.0292
3,more than 50,0.0169
3,0-19,0.016
3,more than 50,0.0158
3,more than 50,0.0154
1,0-19,0.0072
1,0-19,0.0073
5,more than 50,0.0319
4,more than 50,0.0181
3,more than 50,0.0158
4,20-49,0.0177
4,20-49,0.0183
3,20-49,0.0165
3,more than 50,0.0172
1,0-19,0.0078
4,20-49,0.0173
3,0-19,0.0168
5,20-49,0.028
4,0-19,0.0182
4,more than 50,0.0177
3,more than 50,0.0162
3,more than 50,0.0158
1,0-19,0.0071
4,20-49,0.0172
6,0-19,0.0287
3,20-49,0.0205
3,more than 50,0.0154
3,20-49,0.0163
5,0-19,0.0287
3,20-49,0.0172
5,0-19,0.0293
3,more than 50,0.0178
3,more than 50,0.0166
3,0-19,0.0163
3,0-19,0.0159
3,20-49,0.0155
4,more than 50,0.0162
3,0-19,0.0162
3,more than 50,0.0157
3,more than 50,0.0313
3,more than 50,0.0221
5,0-19,0.0396
4,20-49,0.0298
5,more than 50,0.0378
3,0-19,0.0178
4,more than 50,0.0206
3,more than 50,0.0187
3,more than 50,0.017
3,20-49,0.0179
5,more than 50,0.0342
3,0-19,0.0435
3,more than 50,0.0173
3,0-19,0.0164
3,20-49,0.0177
5,0-19,0.0323
3,20-49,0.0168
3,20-49,0.0181
5,0-19,0.0373
3,more than 50,0.0275
3,20-49,0.0194
3,20-49,0.0199
3,20-49,0.0178
3,more than 50,0.0176
4,0-19,0.0199
3,more than 50,0.0177
3,more than 50,0.0188
3,0-19,0.0179
3,0-19,0.0181
3,0-19,0.0188
3,more than 50,0.0177
4,20-49,0.0189
3,more than 50,0.0192
4,0-19,0.0202
3,more than 50,0.0179
3,more than 50,0.018
3,20-49,0.019
1,0-19,0.008
3,more than 50,0.0184
4,20-49,0.0198
4,more than 50,0.0196
3,more than 50,0.0178
4,20-49,0.0198
3,more than 50,0.019
3,more than 50,0.0169
3,20-49,0.018
4,0-19,0.0202
1,0-19,0.0084
4,0-19,0.0195
4,0-19,0.0201
3,20-49,0.0179
4,0-19,0.0209
3,0-19,0.0173
5,more than 50,0.035
4,0-19,0.0194
3,20-49,0.0179
3,0-19,0.0176
3,0-19,0.0177
3,20-49,0.0174
3,0-19,0.017
4,more than 50,0.0186
3,more than 50,0.0174
4,more than 50,0.0185
3,0-19,0.0182
6,more than 50,0.031
5,20-49,0.0304
3,20-49,0.0174
3,20-49,0.0175
3,0-19,0.018
3,more than 50,0.017
3,more than 50,0.0181
5,20-49,0.0297
3,20-49,0.0168
3,0-19,0.0163
3,more than 50,0.0161
3,0-19,0.0172
3,more than 50,0.0168
3,20-49,0.0167
3,20-49,0.0167
3,more than 50,0.0162
3,more than 50,0.0172
3,more than 50,0.0168
4,20-49,0.0189
1,0-19,0.0078
3,0-19,0.0156
3,0-19,0.0169
3,more than 50,0.0159
3,more than 50,0.016
3,more than 50,0.0155
3,more than 50,0.016
3,0-19,0.0176
3,more than 50,0.0179
3,20-49,0.0191
4,20-49,0.0203
1,0-19,0.0081
6,20-49,0.0314
1,more than 50,0.0089
3,more than 50,0.0178
1,0-19,0.0086
4,more than 50,0.02
1,0-19,0.0085
3,20-49,0.0176
5,0-19,0.0308
1,0-19,0.0077
6,0-19,0.0298
1,0-19,0.0085
3,more than 50,0.0156
1,more than 50,0.0078
4,20-49,0.0188
4,0-19,0.0185
6,20-49,0.0301
3,0-19,0.0173
3,20-49,0.0163
5,20-49,0.0292
3,more than 50,0.0172
4,20-49,0.0179
4,0-19,0.0182
3,20-49,0.0163
5,20-49,0.0306
3,more than 50,0.0167
3,0-19,0.0172
3,more than 50,0.016
3,20-49,0.0154
3,more than 50,0.0164
3,20-49,0.0153
3,0-19,0.0161
3,more than 50,0.0171
3,more than 50,0.0173
4,20-49,0.0173
3,20-49,0.0164
3,more than 50,0.0169
5,more than 50,0.0296
3,0-19,0.0156
5,more than 50,0.0278
5,20-49,0.0275
5,20-49,0.0271
3,more than 50,0.0156
1,more than 50,0.0071
4,more than 50,0.0165
5,0-19,0.0278
4,0-19,0.0171
3,20-49,0.0156
4,0-19,0.0168
1,0-19,0.007
5,0-19,0.0294
3,more than 50,0.0165
1,more than 50,0.0072
3,0-19,0.017
3,0-19,0.0158
6,20-49,0.0293
4,0-19,0.0169
3,more than 50,0.0162
3,0-19,0.016
5,0-19,0.0288
3,more than 50,0.0147
4,more than 50,0.0182
3,more than 50,0.0171
4,more than 50,0.0181
3,20-49,0.0155
3,0-19,0.0157
3,20-49,0.0162
3,0-19,0.0173
3,0-19,0.0162
3,20-49,0.0165
3,20-49,0.0158
1,0-19,0.0082
5,20-49,0.0286
1,0-19,0.0084
3,0-19,0.016
3,0-19,0.0161
1,0-19,0.0074
3,more than 50,0.0158
3,20-49,0.0174
1,more than 50,0.0081
5,20-49,0.0291
5,0-19,0.0266
3,0-19,0.0173
3,0-19,0.0159
3,20-49,0.0166
3,more than 50,0.0165
3,0-19,0.016
3,20-49,0.0154
6,0-19,0.0304
3,more than 50,0.0162
3,0-19,0.0167
1,0-19,0.0081
4,more than 50,0.0169
3,20-49,0.0157
3,0-19,0.0151
3,more than 50,0.0162
4,20-49,0.0185
4,20-49,0.0177
3,20-49,0.0167
3,0-19,0.0159
5,20-49,0.0304
3,more than 50,0.0156
5,more than 50,0.0303
1,0-19,0.0078
4,20-49,0.0179
3,20-49,0.0166
3,more than 50,0.0171
4,more than 50,0.0166
3,0-19,0.0168
4,0-19,0.0174
6,0-19,0.0304
3,more than 50,0.0157
3,0-19,0.0163
1,0-19,0.0074
