No of Blocks,Label,Time
5,20-49,0.0152
2,0-19,0.0055
5,20-49,0.0098
6,20-49,0.011
3,more than 50,0.0076
5,more than 50,0.0106
5,more than 50,0.0103
6,more than 50,0.0116
5,20-49,0.0103
7,more than 50,0.012
5,20-49,0.0101
6,more than 50,0.0109
5,20-49,0.0119
5,20-49,0.0099
6,0-19,0.0125
5,0-19,0.0095
5,20-49,0.0098
6,more than 50,0.0108
5,0-19,0.0094
3,0-19,0.0122
4,20-49,0.0086
5,more than 50,0.0098
3,0-19,0.0068
5,20-49,0.0143
5,0-19,0.0099
6,20-49,0.0102
6,20-49,0.0113
3,0-19,0.0073
4,more than 50,0.0081
4,more than 50,0.008
4,more than 50,0.0086
4,more than 50,0.0084
7,0-19,0.0119
5,more than 50,0.0097
5,20-49,0.0097
7,20-49,0.0117
5,more than 50,0.0097
3,0-19,0.0071
5,more than 50,0.0094
5,more than 50,0.012
5,0-19,0.0102
5,20-49,0.0104
5,more than 50,0.0104
5,more than 50,0.01
5,20-49,0.0099
4,more than 50,0.0083
5,more than 50,0.0097
3,0-19,0.0068
4,0-19,0.0121
4,more than 50,0.0089
2,0-19,0.0057
7,0-19,0.0115
4,20-49,0.0081
4,more than 50,0.0092
3,more than 50,0.0069
5,20-49,0.0092
2,0-19,0.0053
5,20-49,0.0097
5,20-49,0.0097
5,20-49,0.01
4,20-49,0.0083
5,20-49,0.0102
5,more than 50,0.0098
6,20-49,0.0108
4,more than 50,0.0084
5,0-19,0.0094
5,more than 50,0.0096
5,0-19,0.01
4,more than 50,0.008
5,20-49,0.0095
6,20-49,0.0121
5,20-49,0.0124
5,20-49,0.0096
6,20-49,0.0109
5,20-49,0.0124
7,20-49,0.0118
5,20-49,0.0097
4,more than 50,0.0086
5,20-49,0.0095
5,0-19,0.0093
5,0-19,0.0102
2,0-19,0.0055
3,0-19,0.0067
3,0-19,0.0073
3,0-19,0.0074
5,20-49,0.0099
5,20-49,0.0095
5,0-19,0.0107
4,0-19,0.0083
3,more than 50,0.0093
5,20-49,0.0098
5,more than 50,0.0097
5,20-49,0.0096
5,20-49,0.0091
5,0-19,0.0101
5,more than 50,0.0094
5,more than 50,0.0096
4,0-19,0.0084
4,20-49,0.0084
5,0-19,0.0117
5,0-19,0.01
4,0-19,0.0087
6,more than 50,0.0108
4,0-19,0.0081
5,0-19,0.0119
5,more than 50,0.0094
1,0-19,0.0037
6,0-19,0.011
5,0-19,0.01
5,0-19,0.0093
4,more than 50,0.0083
4,20-49,0.0086
5,20-49,0.0098
2,0-19,0.0052
3,0-19,0.007
4,more than 50,0.0085
4,more than 50,0.0095
4,more than 50,0.0088
5,20-49,0.0102
6,20-49,0.0113
5,0-19,0.01
5,20-49,0.01
1,0-19,0.0041
7,more than 50,0.0116
5,0-19,0.01
6,20-49,0.0113
2,more than 50,0.0057
4,20-49,0.013
5,0-19,0.0132
5,0-19,0.0097
5,0-19,0.0096
5,20-49,0.01
5,20-49,0.0096
5,0-19,0.0095
5,0-19,0.01
5,more than 50,0.0095
4,more than 50,0.0083
5,more than 50,0.0106
5,0-19,0.0099
4,0-19,0.0079
5,more than 50,0.0097
5,more than 50,0.0098
5,20-49,0.0106
6,20-49,0.0136
5,20-49,0.0107
4,0-19,0.0085
3,more than 50,0.0071
3,0-19,0.0074
7,20-49,0.0122
6,20-49,0.0117
5,20-49,0.01
3,0-19,0.0072
4,more than 50,0.0081
5,0-19,0.0123
6,20-49,0.0115
5,20-49,0.0094
4,more than 50,0.0083
4,0-19,0.0084
2,0-19,0.0057
5,20-49,0.0117
3,0-19,0.007
5,more than 50,0.01
5,0-19,0.0092
5,20-49,0.0096
5,20-49,0.0101
5,more than 50,0.0094
6,0-19,0.0112
5,more than 50,0.0082
6,20-49,0.0114
5,more than 50,0.0107
4,0-19,0.009
2,0-19,0.0054
4,more than 50,0.0087
5,20-49,0.0109
4,20-49,0.0088
4,0-19,0.0088
6,more than 50,0.0121
6,20-49,0.0113
7,0-19,0.0131
5,more than 50,0.0105
5,20-49,0.0125
5,20-49,0.0106
5,20-49,0.0104
5,more than 50,0.0104
5,more than 50,0.01
5,more than 50,0.0105
5,20-49,0.0109
5,20-49,0.0102
5,0-19,0.0104
4,0-19,0.0085
7,0-19,0.0143
4,0-19,0.0086
7,20-49,0.0123
5,more than 50,0.0098
5,20-49,0.0103
5,20-49,0.0098
4,0-19,0.0072
4,more than 50,0.0083
4,20-49,0.0125
3,0-19,0.0072
5,20-49,0.0098
5,20-49,0.0103
5,0-19,0.0105
6,20-49,0.0126
4,20-49,0.0091
6,more than 50,0.0118
4,20-49,0.0129
5,20-49,0.0106
5,more than 50,0.0134
2,0-19,0.006
5,20-49,0.0107
5,more than 50,0.0103
5,more than 50,0.0101
5,0-19,0.0103
5,0-19,0.0101
5,more than 50,0.01
5,20-49,0.0099
6,0-19,0.0112
6,more than 50,0.0108
3,0-19,0.0078
3,0-19,0.0078
4,more than 50,0.0082
5,20-49,0.009
5,more than 50,0.0111
5,20-49,0.0119
2,0-19,0.0058
6,more than 50,0.0126
6,20-49,0.013
3,0-19,0.0082
6,20-49,0.0118
6,20-49,0.0116
5,20-49,0.0101
3,0-19,0.0073
7,20-49,0.0126
5,20-49,0.0096
4,more than 50,0.0089
5,more than 50,0.0097
5,0-19,0.0096
2,0-19,0.0052
5,0-19,0.0099
4,0-19,0.0085
6,20-49,0.0125
1,0-19,0.0041
4,20-49,0.009
7,20-49,0.0126
5,0-19,0.0103
5,more than 50,0.0107
4,more than 50,0.0087
5,0-19,0.0104
5,20-49,0.0114
5,20-49,0.0103
5,more than 50,0.0107
5,more than 50,0.0106
4,0-19,0.0086
4,20-49,0.0084
7,0-19,0.0123
4,0-19,0.0089
5,20-49,0.0103
5,more than 50,0.0107
2,0-19,0.0058
3,0-19,0.0073
2,0-19,0.0055
6,0-19,0.0122
5,20-49,0.0099
5,20-49,0.0096
5,20-49,0.0099
4,more than 50,0.0086
5,0-19,0.0099
5,0-19,0.0097
7,20-49,0.0125
5,20-49,0.0105
4,0-19,0.0085
3,0-19,0.0074
3,more than 50,0.0068
5,0-19,0.0094
6,20-49,0.0128
5,20-49,0.0097
6,20-49,0.0119
5,20-49,0.012
4,20-49,0.0084
4,more than 50,0.0081
6,20-49,0.0112
5,more than 50,0.0101
4,0-19,0.0081
5,20-49,0.0092
6,more than 50,0.0116
5,0-19,0.0101
5,more than 50,0.01
5,20-49,0.01
4,20-49,0.0089
4,0-19,0.0084
2,more than 50,0.005
6,0-19,0.0107
3,more than 50,0.0075
6,20-49,0.0104
4,more than 50,0.0081
5,20-49,0.0084
5,0-19,0.01
5,more than 50,0.0095
3,0-19,0.0067
5,0-19,0.0101
5,20-49,0.0099
6,20-49,0.0106
5,more than 50,0.0098
4,0-19,0.0073
5,20-49,0.0117
5,more than 50,0.0105
3,0-19,0.0068
5,20-49,0.0103
3,0-19,0.0069
6,20-49,0.0112
7,20-49,0.0124
5,more than 50,0.0098
6,0-19,0.0114
4,20-49,0.0087
5,20-49,0.0099
5,more than 50,0.0097
4,more than 50,0.0088
5,more than 50,0.0095
6,0-19,0.0108
2,20-49,0.0128
5,more than 50,0.0105
7,0-19,0.0118
5,0-19,0.0096
5,20-49,0.0094
5,more than 50,0.0098
5,20-49,0.0101
5,more than 50,0.0101
4,more than 50,0.0078
2,0-19,0.0057
5,20-49,0.0099
6,more than 50,0.0112
3,0-19,0.0083
4,0-19,0.0087
5,more than 50,0.0098
4,more than 50,0.0084
5,more than 50,0.0099
2,0-19,0.0057
4,more than 50,0.008
2,0-19,0.0051
4,0-19,0.0082
5,more than 50,0.0125
6,20-49,0.0118
5,20-49,0.0098
5,20-49,0.0121
1,0-19,0.0039
6,20-49,0.0105
5,20-49,0.0102
1,more than 50,0.012
6,0-19,0.0102
2,more than 50,0.0053
5,more than 50,0.0099
5,more than 50,0.0099
6,20-49,0.0109
6,20-49,0.0113
2,0-19,0.0076
6,0-19,0.0119
5,more than 50,0.0099
6,0-19,0.0108
6,more than 50,0.0117
5,more than 50,0.0099
5,20-49,0.0095
5,20-49,0.0093
5,more than 50,0.0098
5,20-49,0.0122
4,0-19,0.0083
6,0-19,0.0111
4,0-19,0.008
5,0-19,0.0097
4,0-19,0.0088
4,more than 50,0.0084
5,0-19,0.0095
5,more than 50,0.0104
5,more than 50,0.0103
5,0-19,0.0097
3,0-19,0.0069
7,more than 50,0.0123
4,20-49,0.0086
4,20-49,0.0083
4,more than 50,0.0087
4,0-19,0.0086
3,more than 50,0.0068
5,more than 50,0.0095
5,0-19,0.0103
4,more than 50,0.0083
2,more than 50,0.0054
5,more than 50,0.0093
3,0-19,0.0069
5,0-19,0.0098
4,20-49,0.0112
5,more than 50,0.0098
4,0-19,0.0085
2,0-19,0.0055
4,more than 50,0.0086
5,more than 50,0.0101
4,0-19,0.0086
4,0-19,0.0081
4,0-19,0.0079
6,more than 50,0.0114
3,0-19,0.0069
6,0-19,0.011
3,0-19,0.007
6,20-49,0.0111
5,0-19,0.0099
5,more than 50,0.0096
3,0-19,0.0069
