No of Blocks,Label,Time
26,Benign,0.0162
27,Benign,0.0127
29,Benign,0.0135
26,Malignant,0.0124
30,Benign,0.0138
27,Benign,0.0109
25,Benign,0.0114
25,Benign,0.0105
29,Benign,0.0133
25,Benign,0.0124
25,Malignant,0.0118
25,Malignant,0.0118
26,Malignant,0.0104
27,Benign,0.0128
27,Benign,0.0129
26,Benign,0.0119
25,Benign,0.0127
27,Malignant,0.0125
28,Malignant,0.0137
27,Malignant,0.0115
26,Benign,0.0122
27,Benign,0.0128
25,Malignant,0.0111
26,Malignant,0.0119
26,Malignant,0.0126
27,Malignant,0.013
26,Benign,0.0128
26,Malignant,0.0121
27,Malignant,0.0129
27,Benign,0.0109
28,Benign,0.0132
27,Malignant,0.0126
27,Benign,0.012
28,Benign,0.0131
27,Malignant,0.0129
25,Benign,0.0118
27,Malignant,0.0127
26,Malignant,0.0124
29,Benign,0.014
27,Malignant,0.0127
28,Benign,0.013
26,Malignant,0.01
27,Malignant,0.0126
28,Benign,0.0123
29,Malignant,0.0125
28,Benign,0.0149
26,Benign,0.0129
27,Malignant,0.0126
26,Malignant,0.0123
26,Benign,0.0108
28,Benign,0.0133
28,Malignant,0.013
28,Benign,0.0135
27,Benign,0.0106
27,Malignant,0.0131
26,Malignant,0.0124
28,Malignant,0.0135
29,Benign,0.0136
27,Malignant,0.0127
28,Benign,0.0129
28,Malignant,0.0136
28,Malignant,0.0136
26,Malignant,0.0116
27,Malignant,0.0127
27,Malignant,0.0131
28,Malignant,0.0139
26,Malignant,0.0117
26,Malignant,0.0129
26,Malignant,0.0127
26,Malignant,0.0122
27,Malignant,0.0132
28,Benign,0.0127
26,Malignant,0.0123
29,Benign,0.0136
28,Benign,0.0135
26,Malignant,0.0119
29,Malignant,0.0137
27,Benign,0.0126
28,Benign,0.0131
27,Malignant,0.0129
27,Malignant,0.014
29,Benign,0.0136
26,Malignant,0.0126
25,Benign,0.0118
27,Malignant,0.0127
27,Malignant,0.0107
26,Malignant,0.0127
25,Benign,0.0115
26,Malignant,0.0124
28,Malignant,0.0124
25,Benign,0.0121
27,Malignant,0.0124
27,Malignant,0.0125
28,Benign,0.0134
26,Malignant,0.0124
27,Benign,0.0113
26,Benign,0.0121
28,Benign,0.0111
28,Benign,0.0136
26,Benign,0.0128
27,Malignant,0.0131
27,Benign,0.0128
28,Benign,0.0138
27,Malignant,0.0128
25,Benign,0.0119
26,Benign,0.0122
27,Malignant,0.0128
27,Benign,0.0128
27,Malignant,0.0129
26,Malignant,0.0115
26,Malignant,0.0125
26,Malignant,0.0119
28,Benign,0.0128
30,Malignant,0.0121
27,Malignant,0.0108
26,Benign,0.0129
26,Malignant,0.0125
25,Benign,0.0128
29,Benign,0.0157
28,Malignant,0.0109
25,Benign,0.0116
28,Malignant,0.0136
26,Benign,0.0111
25,Benign,0.0113
27,Malignant,0.0144
26,Malignant,0.0133
29,Benign,0.0149
28,Benign,0.0132
28,Malignant,0.0122
28,Benign,0.0139
27,Malignant,0.014
29,Malignant,0.0144
27,Malignant,0.0233
27,Benign,0.0144
27,Malignant,0.0129
27,Malignant,0.0119
27,Malignant,0.0139
27,Malignant,0.013
29,Benign,0.0125
27,Malignant,0.0131
27,Malignant,0.0135
27,Malignant,0.0145
28,Benign,0.0151
26,Benign,0.0132
27,Benign,0.0133
26,Malignant,0.0109
26,Malignant,0.0156
28,Malignant,0.0139
28,Benign,0.0151
27,Malignant,0.0131
29,Malignant,0.0156
30,Malignant,0.0149
28,Benign,0.0138
26,Benign,0.0122
26,Benign,0.0126
25,Benign,0.011
27,Malignant,0.0128
28,Malignant,0.0137
27,Malignant,0.0132
27,Benign,0.0126
27,Malignant,0.0128
26,Malignant,0.0111
29,Benign,0.0149
27,Malignant,0.0113
27,Benign,0.0127
26,Malignant,0.0125
26,Malignant,0.0127
27,Malignant,0.0126
29,Benign,0.0134
28,Benign,0.0136
26,Benign,0.0117
25,Benign,0.0117
28,Malignant,0.0137
27,Benign,0.0114
27,Malignant,0.0132
26,Malignant,0.0118
27,Benign,0.0136
25,Benign,0.0118
26,Malignant,0.0124
26,Malignant,0.0119
29,Malignant,0.0139
27,Benign,0.0124
26,Malignant,0.0126
26,Benign,0.0125
27,Benign,0.013
25,Benign,0.0125
26,Malignant,0.0124
26,Malignant,0.0119
27,Benign,0.0128
25,Benign,0.0118
28,Benign,0.0133
27,Malignant,0.0115
27,Benign,0.0141
28,Malignant,0.0142
26,Benign,0.0128
28,Benign,0.0133
27,Benign,0.0125
26,Benign,0.0126
25,Benign,0.0114
26,Benign,0.0121
28,Benign,0.0138
27,Benign,0.0109
27,Malignant,0.011
26,Benign,0.0114
26,Benign,0.0125
26,Malignant,0.0119
29,Benign,0.0135
29,Malignant,0.0137
27,Benign,0.0128
28,Malignant,0.0109
28,Malignant,0.0145
26,Benign,0.0112
28,Malignant,0.0135
26,Malignant,0.0125
28,Benign,0.0139
26,Benign,0.012
28,Malignant,0.0137
27,Malignant,0.0128
29,Benign,0.0139
27,Malignant,0.0126
27,Malignant,0.013
26,Benign,0.0115
27,Benign,0.0128
28,Benign,0.0119
28,Malignant,0.0126
26,Benign,0.0124
27,Benign,0.0128
27,Malignant,0.0116
26,Malignant,0.013
27,Benign,0.012
26,Malignant,0.0108
26,Malignant,0.0129
27,Malignant,0.0131
27,Benign,0.0124
29,Benign,0.0139
29,Malignant,0.0133
28,Benign,0.0136
28,Malignant,0.012
27,Benign,0.0131
26,Malignant,0.0115
25,Benign,0.0118
26,Malignant,0.011
26,Malignant,0.0124
27,Benign,0.0114
26,Benign,0.012
26,Benign,0.0121
27,Malignant,0.0139
26,Benign,0.0123
26,Malignant,0.0126
27,Malignant,0.0127
25,Benign,0.0124
26,Benign,0.0125
26,Benign,0.0125
26,Benign,0.0123
29,Malignant,0.0142
27,Malignant,0.0128
25,Benign,0.0116
26,Benign,0.013
26,Malignant,0.0122
26,Benign,0.0105
