No of Blocks,Label,Time
16,20-49,0.0104
24,20-49,0.0115
19,20-49,0.0091
21,0-19,0.0097
18,20-49,0.0089
20,0-19,0.0088
19,more than 50,0.0093
19,20-49,0.0087
16,20-49,0.0077
20,more than 50,0.0093
21,20-49,0.01
17,0-19,0.0074
23,more than 50,0.0105
19,more than 50,0.0095
18,0-19,0.0088
19,20-49,0.009
19,0-19,0.0096
20,more than 50,0.0094
20,0-19,0.0097
20,20-49,0.0097
18,more than 50,0.0088
21,more than 50,0.0093
19,20-49,0.008
17,more than 50,0.0074
21,0-19,0.0101
22,20-49,0.0106
21,0-19,0.0101
19,20-49,0.0087
21,more than 50,0.0098
20,20-49,0.0081
26,more than 50,0.0127
19,0-19,0.0086
21,more than 50,0.01
20,more than 50,0.01
24,20-49,0.0117
21,more than 50,0.0094
22,0-19,0.0098
22,20-49,0.0098
21,more than 50,0.0102
22,0-19,0.0088
21,20-49,0.0098
19,0-19,0.0088
24,more than 50,0.0115
19,20-49,0.0088
20,20-49,0.0097
21,more than 50,0.01
19,0-19,0.0092
18,20-49,0.0077
22,0-19,0.0103
23,20-49,0.011
19,more than 50,0.0093
20,0-19,0.0089
22,20-49,0.0106
25,0-19,0.0121
19,0-19,0.0091
19,0-19,0.0091
20,0-19,0.0097
21,0-19,0.0098
20,more than 50,0.0094
24,more than 50,0.0132
24,0-19,0.011
18,20-49,0.0088
17,more than 50,0.0084
20,20-49,0.0095
18,0-19,0.0089
18,0-19,0.0087
16,0-19,0.0078
22,more than 50,0.0106
17,20-49,0.0076
19,20-49,0.0098
22,more than 50,0.011
22,0-19,0.0105
19,more than 50,0.0095
23,more than 50,0.0099
19,0-19,0.0092
17,20-49,0.008
19,20-49,0.0088
20,0-19,0.0099
17,20-49,0.0079
19,more than 50,0.0093
20,more than 50,0.0094
19,20-49,0.0089
24,20-49,0.0114
20,0-19,0.0096
19,0-19,0.0098
18,0-19,0.0087
18,more than 50,0.0088
21,20-49,0.0097
17,more than 50,0.008
21,more than 50,0.0092
22,more than 50,0.0104
19,more than 50,0.0091
19,more than 50,0.009
21,0-19,0.0099
19,0-19,0.0094
27,0-19,0.0129
18,0-19,0.008
21,20-49,0.0094
17,20-49,0.0085
21,20-49,0.0102
20,20-49,0.0099
17,20-49,0.0081
19,more than 50,0.0092
19,more than 50,0.009
19,more than 50,0.01
21,0-19,0.01
22,more than 50,0.0103
23,20-49,0.0113
16,more than 50,0.0074
21,0-19,0.0092
24,more than 50,0.0115
19,20-49,0.0085
22,more than 50,0.0108
19,0-19,0.0088
20,more than 50,0.0094
21,20-49,0.0097
23,0-19,0.0111
19,more than 50,0.0082
18,0-19,0.0087
20,more than 50,0.0098
21,0-19,0.0103
24,20-49,0.0116
24,0-19,0.0119
22,20-49,0.0099
20,0-19,0.0096
18,20-49,0.0087
20,0-19,0.0098
17,0-19,0.0083
25,20-49,0.0119
19,20-49,0.0088
20,more than 50,0.0103
23,more than 50,0.011
20,0-19,0.0099
24,more than 50,0.0101
20,0-19,0.009
19,20-49,0.0089
17,0-19,0.0082
15,more than 50,0.0072
16,0-19,0.0077
20,more than 50,0.0095
16,more than 50,0.008
24,more than 50,0.0108
21,0-19,0.0101
23,20-49,0.0093
21,0-19,0.0096
24,20-49,0.0117
21,0-19,0.0102
23,20-49,0.0106
20,0-19,0.0095
19,20-49,0.0091
22,0-19,0.0109
19,0-19,0.0085
19,20-49,0.0092
18,0-19,0.0066
17,20-49,0.0082
20,more than 50,0.0091
21,0-19,0.0094
19,0-19,0.0085
19,more than 50,0.0092
20,20-49,0.0092
19,more than 50,0.009
24,0-19,0.01
20,more than 50,0.0096
23,0-19,0.011
21,more than 50,0.0086
20,more than 50,0.0085
19,more than 50,0.0091
18,0-19,0.0085
20,more than 50,0.0104
20,20-49,0.0093
20,more than 50,0.0096
17,0-19,0.0082
20,more than 50,0.0088
22,0-19,0.0109
19,more than 50,0.0092
20,0-19,0.0091
20,20-49,0.0096
21,more than 50,0.0118
21,20-49,0.0104
22,more than 50,0.0107
17,more than 50,0.0081
18,more than 50,0.0091
24,20-49,0.0109
17,20-49,0.0088
19,20-49,0.0202
21,more than 50,0.0158
16,more than 50,0.0101
19,20-49,0.0117
23,20-49,0.0138
19,0-19,0.0116
17,20-49,0.0104
22,0-19,0.0128
18,20-49,0.0104
25,more than 50,0.0139
15,20-49,0.0071
20,20-49,0.0101
19,20-49,0.0094
20,20-49,0.0107
